Dolphin ID,Dolphin Name,Temporary Dolphin Ind,Sex,Sex Certainty,Mother ID,Father ID,Father ID Certainty,Father Notes,Haplotype,Haplotype Certainty,Haplotype Kin ID Based On,Haplotype Kin DNA Sample Based On,Haplotype Researcher,Haplotype Notes,Birth Date Accuracy,Birth Date,Birth Date Earliest,Birth Date Latest,Birth Date Primary Reason,Birth Date Secondary Reason,Birth Date Primary Assigner,Birth Date Secondary Assigner,Birth Notes,Death Date Accuracy,Death Date,Death Date Primary Reason,Death Date Secondary Reason,Death Date Calc Type,Death Date Primary Assigner,Death Date Secondary Assigner,Death Notes,Weaning Date Accuracy,Weaning Date,Weaning Date Primary Reason,Weaning Date Secondary Reason,Weaning Date Calc Type,Weaning Date Primary Assigner,Weaning Date Secondary Assigner,Weaning Age Known,Weaning Notes,Last Seen Year,Dolphin Notes
ADR,ANDROMEDA,False,FEMALE,LOW,,,,,,,,,,,YEAR ESTIMATE,1988-11-01,,,ASSIGNED 10 YRS,,SAS,,,,,,,,,,,,,,,,,,,,,
AGA,AGAR,False,MALE,HIGH,ALG,VEE,HIGH,paternity based on snps,E,,,,,,WEEK ESTIMATE,1997-09-15,,,INFANT FIRST SIGHT,,MRH,,1-2 WKS,,,,,,,,,MONTH ESTIMATE,2003-06-04,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,MIDPOINT BTWN LAST BP AND FIRST NO MOM PRESENT; ALGAE NOT SEEN AFTER WEANING AGAR,2006,
AHA,AHAB,False,MALE,LOW,,,,,,,,,,,YEAR ESTIMATE,1980-11-01,1978-11-01,1982-11-01,SSSS,91CAT,EK,JM,Juvenile in 1987 so we added a range. In 1991catalog considered juvenile or subadult.,MONTH ESTIMATE,1994-05-01,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,EK,JM,Was sighted every year so we think he disappeared by 1994.,,,,,,,,,,1993,
AJA,AJAX,False,MALE,HIGH,,,,,E,,,,,,,1980-11-01,,,91CAT,,,,,,,,,,,,,,,,,,,,,,2006,
ALB,ALBATROSS,False,MALE,HIGH,KIT,,,,H,,,,,,WEEK ESTIMATE,2015-10-15,2015-10-05,2015-10-31,INFANT FIRST SIGHT,,JM,,"stipes, smooth, peduncle dives staying down for 2min or a little more. mostly synch with mum and BP for 1 to 5 min. stayed primarily ech though and was seen petting with KIT",,,,,,,,,MONTH ESTIMATE,2020-05-01,REDUCED MC ASSOCIATION,,DEFAULT DATE,VF,JM,YES,"Albatross was with Kite on 17-Apr-20. Kite was seen without Albatross on 23-Jan-21, and then Albatross was seen without Kite on 16-Mar-21",,
ALD,ALDENTE,False,UNKNOWN,,GNO,,,,,,,,,,WEEK ESTIMATE,2007-12-15,2007-11-15,2007-12-30,INFANT FIRST SIGHT,,CCC,,maybe a couple of months old,YEAR ESTIMATE,2008-05-01,DEAD PREWEANING,SIBLING BIRTH,DEFAULT DATE,JM,,ALD had to have died between Feb 2008 sighting or early 2009 because of PLT birth likely in 2010. Gap in sightings. jan sighting date without calf is estimate from CCC since saw GNO with PLT in Jan 2012 no other details.,,,,,,,,,,,This dolphin originally called Polenta which we switched to Gnocchi's next calf.  So decided that AlDente died and Polenta is alive and well born in 2010.
ALG,ALGAE,False,FEMALE,HIGH,,,,,E,,,,,,YEAR ESTIMATE,1969-11-01,1965-11-01,1969-11-01,SSSS,91CAT,EK,JM,Had speckles on DF in 1989 so probably at least 20. We reviewed speckles on her and she could have had a calf before Weed.,YEAR ESTIMATE,2004-05-01,,,DEFAULT DATE,,,,,,,,,,,,,2003,
ALI,ALIEN,False,FEMALE,HIGH,,,,,A,,,,,,YEAR ESTIMATE,1982-11-01,1981-11-01,1984-11-01,91CAT,SSSS,EK,JM,In 2002 does not have obvious speckles so age is probably pretty close and she could be a little younger.  Considered subadult in 1991.,YEAR ESTIMATE,2011-05-01,OVER 3 YEARS,SIGHTED OFTEN PREVIOUSLY,DEFAULT DATE,EK,JM,Had 2 year gap in sightings.,,,,,,,,,,2006,
ALO,ALAOK,True,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,2001-11-01,,,SSSS,,SAS,,,,,,,,,,,,,,,,,,,,,
ALP,ALPACA,False,,,LLA,,,,,,,,,,MONTH ESTIMATE,2017-11-01,2017-09-01,2018-02-01,SPRING SUMMER YOY,,VF,,"first seen on 25Jun19, estimated 1.5 years",,,,,,,,,,,,,,,,,,,
ALT,ALTHEA,False,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1988-11-01,1975-11-01,1990-11-01,SSSS,,JM,,ALT had yoy in 2002 at her first sighting,,,,,,,,,,,,,,,,,,,
ALU,ALUCO,False,MALE,HIGH,TAW,MNK,HIGH,paternity based on snps,E,,,,,,MONTH ESTIMATE,2015-11-01,2015-09-15,2015-11-15,INFANT FIRST SIGHT,,JM,,"based on photo looks about 3 months, fat and healthy, no visible fetal lines though possible scratches",,,,,,,,,MONTH ESTIMATE,2018-12-25,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,ALU with TAW during survey but >1hr separation later that day,,
ALV,ALLUVION,False,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1981-11-01,1975-11-01,1981-11-01,SSSS,REPRODUCTIVE AGE,EK,JM,DF speckles in 2001 so probably around 20. Originally aged on repro age.,YEAR ESTIMATE,2004-05-01,OVER 3 YEARS,,DEFAULT DATE,EK,JM,Seen a few times but very distinctive.,,,,,,,,,,,
ALW,ALMOSTWAS,False,,,MUN,,,haplotype assigned based on haplotype of mother,E,,,,,,MONTH ESTIMATE,1999-11-15,,,PREGNANCY,,JM,,LOOKED PREGNANT 3-OCT-99,MONTH ESTIMATE,2000-03-15,DEAD PREWEANING,,MIDPOINT,JM,,Calf never seen-based on pregnancy and next sighting,,,,,,,,DIED PREWEANING,,,
AMA,AMANDA,False,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1984-11-01,,,REPRODUCTIVE AGE,,,,Photos too poor to get better estimate or range.,YEAR ESTIMATE,2009-05-01,SIGHTED OFTEN PREVIOUSLY,,DEFAULT DATE,JM,,PDA AMA not sighted since PDA was young. PDA could be weaned or dead.,,,,,,,,,,2004,
AME,AMELIE,True,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1991-11-01,1986-11-01,1991-11-01,SSSS,REPRODUCTIVE AGE,EK,,Has some lateral specks in 1991 and a few high up near DF but not on DF.,,,,,,,,,,,,,,,,,,,
AMO,AMOK,False,FEMALE,HIGH,TUK,,,haplotype assigned based on haplotype of mother,E,,,,,,MONTH ESTIMATE,1996-11-01,,,INFANT FIRST SIGHT,,KH,,NO FETAL LINES VISIBLE - SMOOTH; CHIN-SLAP SURFACINGS; BRIEF BP,MONTH ESTIMATE,2016-05-01,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,JM,VF,"Last seen 7-Mar-16, her family seen frequently without her the following year",WEEK ESTIMATE,2000-05-14,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,Y BY MDPT; COULD BE 12 OR 13 AT FIRST BIRTH (TUK),2007,
AMP,AMP,False,FEMALE,HIGH,,,,haplotype assigned based on haplotype of offspring,A,,,,,,YEAR ESTIMATE,1986-11-01,1980-11-01,1987-11-01,SSSS,REPRODUCTIVE AGE,EK,JM,,,,,,,,,,,,,,,,,,,,
ANA,ANAK,False,,,MER,,,,,,,,,,WEEK ESTIMATE,1988-11-01,,,INFANT FIRST SIGHT,,JM,,NO SIZE INFORMATION,MONTH ESTIMATE,1989-05-01,,,DEFAULT DATE,JM,,Both disappeared; MER frequently seen up until Dec 88,,,,,,,,DIED PREWEANING,,1989,
ANE,ANEMONE,False,FEMALE,HIGH,CLO,SIS,LOW,SNPs one parent.,E,,,,,,MONTH ESTIMATE,2009-11-01,2009-09-01,2010-03-01,,,JM,,,,,,,,,,,DAY ESTIMATE,2013-06-08,,,MIDPOINT,JM,,YES,,,RCC thought it was a yoy about 6 months old at first sight. Gap in sightings of CLO- last seen 2007.
ANG,ANGLEMANGLE,False,,,,,,,,,,,,,YEAR ESTIMATE,1972-11-01,,,91CAT,,,,Photo too poor to improve age estimation.,YEAR ESTIMATE,1988-05-01,RARELY SIGHTED,OVER 3 YEARS,DEFAULT DATE,EK,JM,Seen in 1984 by RAS. Distinctive so definitely gone.,,,,,,,,,,,
ANK,ANKLET,False,,,PEG,,,haplotype assigned based on haplotype of mother,A,,,,,,DAY ESTIMATE,2000-11-23,,,INFANT FIRST SIGHT,,RW,,"FOLDS, LUMPY, TRAILING EDGE OF DORSAL WAVY AND DORSAL FOLDED OVER, CLAF LENGTH OF MOTHERS FLUKES. CORKING UP. PEG AND CALF EITHER BEHIND OR IN FRONT OF REST OF GROUP (PUC, KIY, PIC, SQU, RHO)",DAY ESTIMATE,2001-01-11,DEAD PREWEANING,,MIDPOINT,JM,,,,,,,,,,DIED PREWEANING,,2001,
ANT,ANTOINE,False,MALE,HIGH,,,,,H,,,,,,,1973-11-01,,,SSSS,,,,,YEAR ESTIMATE,2014-05-01,OVER 3 YEARS,SIGHTED OFTEN PREVIOUSLY,DEFAULT DATE,JM,,Except for 1991-1992 ANT virtually every year. Estimated to be about 40 years old based on speckling.,,,,,,,,,,2006,
ANV,ANVIL,False,MALE,HIGH,,,,,A,,,,,,YEAR ESTIMATE,1976-11-01,1966-11-01,1976-11-01,91CAT,ALLIANCE,EK,JM,Speckles on DF in 1996.,,,,,,,,,,,,,,,,,,2006,
ANW,ANTWERP,True,MALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1992-11-01,,,ASSIGNED 10 YRS,,JM,,,,,,,,,,,,,,,,,,,,,
AOV,ALOE VERA,False,UNKNOWN,,COP,,,,A,,,,,,WEEK ESTIMATE,2014-11-01,2014-11-01,2014-12-15,INFANT FIRST SIGHT,SPRING SUMMER YOY,EK,,"estimated ~6 months. No folds or stripes, df erect, weight and surfacing normal, synchrony most, bp 31-60 sec, Str, max distance 2 predominant 0",MONTH ESTIMATE,2016-01-11,DEAD PREWEANING,,MIDPOINT,JM,,,,,,,,,,,,,
APO,APOLLO,False,MALE,HIGH,ATH,RAS,HIGH,SNPs both parents.,E,,,,,,MONTH ESTIMATE,2003-11-01,,,SPRING SUMMER YOY,,AKC,,YOY. Estimated Bday Dec 03 because sighted near the beginning of November [Oct 26] with no calf and no mention of very pregnant animal,,,,,,,,,WEEK ESTIMATE,2007-06-25,REDUCED MC ASSOCIATION,,MIDPOINT,SAS,,YES,ESTIMATED B-DAY DEC 03 B/C SIGHTED NEAR THE BEGINNING OF NOV (OCT 26) WITH NO CALF AND NO MENTION OF VERY PREGNANT ANIMAL;,2007,
APS,AMPERSAND,True,MALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1998-11-01,,,,,JM,,,,,,,,,,,,,,,,,,,,,
APX,APEX,True,MALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1985-11-01,1983-11-01,1988-11-01,SSSS,ALLIANCE,EK,,Bday updated based on SSSS.,YEAR ESTIMATE,2015-05-01,OVER 3 YEARS,,DEFAULT DATE,EK,JM,,,,,,,,,,,,
AQU,AQUA,False,,,OCE,,,,,,,,,,WEEK ESTIMATE,2003-11-15,,,INFANT FIRST SIGHT,MOTHER FIRST SIGHT WITH CALF,AS,,"DF ERECT, FETAL STRIPES, CHIN-SLAP SURFACINGS IN BEAUFORT 4 WITH BIG SWELL, NORMAL WEIGHT",,,UNCERTAIN SURVIVAL STATUS PREWEANING,,,JM,,,,,,,,,,NO,,2003,
ARA,ARANCINO,False,,,RSO,,,,,,,,,,WEEK ESTIMATE,2020-10-15,2020-09-15,2020-11-15,INFANT FIRST SIGHT,,JM,VF,"Risotto was last seen Feb 19th, 2020 and first seen with Arancini December 14th, 2020 (DIC). Molly saw Risotto in serious consortship from at least late September to early December. JM estimates ARA to be about 5 months from March photos",,,,,,,,,,,,,,,,,,,
ARC,ARCHIE,False,MALE,HIGH,,,,,A,,,,,,YEAR ESTIMATE,1981-11-01,1980-11-01,1982-11-01,SSSS,,EK,JM,RCC speckle estimate posthoc coded and might not have been that accurate. But by size and lack of speckles his age is pretty good.,MONTH ESTIMATE,1999-05-01,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,EK,JM,Seen often and distinctive.,,,,,,,,,,1998,
ARG,ARGON,False,MALE,HIGH,,,,,A,,,,,,YEAR ESTIMATE,1977-11-01,1972-11-01,1977-11-01,SSSS,ALLIANCE,EK,JM,Has Class 2 speckles on DF in 1997. His original bday was 1982 based on alliance but is clearly a little older.,YEAR ESTIMATE,2008-05-01,OVER 3 YEARS,,DEFAULT DATE,EK,,Gas Gang members were sighted since. Mangle and Klaus disappeared in 2005 and 2004 respectively.,,,,,,,,,,2005,
ARI,ARIES,True,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1991-11-01,1989-11-01,1991-11-01,REPRODUCTIVE AGE,SSSS,SAS,,has a few speckles on ped in 2013,,,,,,,,,,,,,,,,,,,
ARN,ARNIE,False,MALE,HIGH,LAS,,,,E,,,,,,YEAR ESTIMATE,1988-11-01,1986-11-01,1988-11-01,GAP,,EK,JM,"From DNA, LAS is the mother. ARN in consortship by 2001 so probably 15 or so by then. In 91 cat photo with mom",,,,,,,,,MONTH ESTIMATE,1992-05-01,SIBLING BIRTH,,DEFAULT DATE,JM,VF,YES,"ARN with LAS on 28Sep91, YEL born 1Nov92",2006,
ARP,ARP,False,MALE,HIGH,,,,,A,,,,,,YEAR ESTIMATE,1982-11-01,1978-11-01,1982-11-01,SSSS,,,,Has DF speckles in 2002 so at least 20.,,,,,,,,,,,,,,,,,,2006,
ART,ARTEMIS,False,MALE,HIGH,ATH,,,haplotype assigned based on haplotype of mother,E,,,,,,YEAR ESTIMATE,1999-11-01,,,MOTHER FIRST SIGHT WITH CALF,,JJW,,"LOOKS YOUNG, YOY OR 2 - JJW ON 9NOV01",,,,,,,,,YEAR ESTIMATE,2003-04-08,REDUCED MC ASSOCIATION,SIBLING BIRTH,,JM,,NO,BUT BIRTHDAY COULD BE ONE YEAR EARLIER;GUESSING B-DAY IS AT OR BEFORE 1999 B/C SEEN IN 2001 AND NO SIZE INFO MENTIONED-USUALLY MEANS NOT A YOY.,2005,
ASD,ASTEROID,False,MALE,HIGH,FID,,,haplotype assigned based on haplotype of mother,E,,,,,,MONTH ESTIMATE,2005-11-01,,,,,RCC,,"likely yoy, no fetal folds; mom with males in 2004",,,,,,,,,MONTH ESTIMATE,2010-04-17,,,MIDPOINT,SAS,,YES,,,
ASH,ASHES,False,MALE,HIGH,,,,,A,,,,,,,1980-11-01,,,SSSS,,,,,YEAR ESTIMATE,2017-05-01,OVER 3 YEARS,,DEFAULT DATE,JM,VF,Last seen 12-May-15 and is over 30yrs old,,,,,,,,,,2006,
ASN,ASHTON,False,FEMALE,HIGH,DEM,HII,LOW,Based on information from halfsiblings with known mothers,H,,,,,,MONTH ESTIMATE,2004-01-01,2003-12-01,2004-01-15,INFANT FIRST SIGHT,,QAG,,"DF ERECT, NO FETAL STRIPES, NORMAL WEIGHT, CHIN-SLAP SURFACINGS",,,,,,,,,WEEK ESTIMATE,2007-05-30,REDUCED MC ASSOCIATION,,MIDPOINT,,,YES,MALES CONSORT WITH DEM IN 2007,2007,
AST,ASTRO,False,MALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1977-11-01,1960-11-01,1977-11-01,91CAT,ALLIANCE,EK,JM,Was in consortships by late 80s and with SHA WAV SPU.,MONTH ESTIMATE,1993-05-01,SIGHTED OFTEN PREVIOUSLY,OVER 3 YEARS,DEFAULT DATE,EK,JM,Seen often so we think he died in 1993.,,,,,,,,,,1992,
ASY,ASTRAY,False,MALE,HIGH,AMO,,,,E,,,,,,WEEK ESTIMATE,2013-01-01,2012-12-15,2013-01-15,,,JM,,,,,,,,,,,MONTH ESTIMATE,2016-05-01,GAP,,DEFAULT DATE,JM,,YES,"ASY last seen in bp on 18Sep15 by EK, also last sighting of AMO; ASY seen 25Aug18 by TCC; think AMO died and ASY orphaned. As we saw AMO every year the estimated weaning date is 2016.",,JM estimated 4-5 mos old; range 15-dec12 to 15jan13
ATC,ATTICUS,True,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1991-11-01,1986-11-01,1991-11-01,SSSS,ASSIGNED 10 YRS,EK,VF,Not seen with calf until age 20.,,,,,,,,,,,,,,,,,,,
ATH,ATHENA,False,FEMALE,HIGH,SCU,,,,E,,,,,,YEAR ESTIMATE,1985-11-01,1984-11-01,1985-11-01,SSSS,,EK,JM,"No DF specks in 2003 or 2004. Athena called Sooty then and was a juvenile. As Shout was born around 1989, Athena must have been born 84 or 85.",,,,,,,,,YEAR ESTIMATE,1989-05-01,,,,JM,,NO,Athena first seen as a juvenile but her sibling Shout was born around 1989.,2007,
ATI,ATILLA,False,MALE,LOW,,,,,,,,,,,YEAR ESTIMATE,1978-11-01,1968-11-01,1978-11-01,SSSS,,EK,,Originally assigned 10 years at first sight but had lots of DF speckles in 2003 so we think he is older than 25.,YEAR ESTIMATE,2011-05-01,OVER 3 YEARS,,DEFAULT DATE,EK,JM,6 year gap in his sightings but he is quite old and not seen for many years.,,,,,,,,,,2004,
ATL,ATLAS,False,UNKNOWN,,ATH,,,haplotype assigned based on haplotype of mother,E,,,,,,WEEK ESTIMATE,2009-10-21,2009-10-14,2009-10-28,,,MAS,,est 2-3 wks lumpy fetal lines,MONTH ESTIMATE,2010-03-17,DEAD PREWEANING,,MIDPOINT,SAS,,,,,,,,,,,,,Estimated 2-3 weeks. Lumpy with fetal folds.
ATW,ATWOOD,True,FEMALE,HIGH,,,,,,,,,,,YEAR ESTIMATE,1988-11-01,1986-11-01,1988-11-01,,SSSS,EK,JM,Has DF speckles in 2013 but is very clean in 2003 so we think QWE was her first or one of her first calves.,,,,,,,,,,,,,,,,,,,
AUL,AURELIE,False,UNKNOWN,,AME,,,,,,,,,,MONTH ESTIMATE,2003-11-01,,,,,BLS,,yoy,,,UNCERTAIN SURVIVAL STATUS PREWEANING,GAP,,,,Could be dead or weaned.,,,,,,,,NO,,,
AUR,AURORA,False,UNKNOWN,,MFC,,,,,,,,,,YEAR ESTIMATE,2002-11-01,2001-11-01,2002-11-01,,,JM,,,,,UNCERTAIN SURVIVAL STATUS PREWEANING,OVER 3 YEARS,,,,Calf not distinctive so uncertain if survived to weaning or post-weaning.,,,,,,,,NO,,,RCC mentioned yoy in survey but didn't specify which calf was a yoy. JM estimates yoy or 1.5 yrs based on photos.
AVA,AVATAR,False,UNKNOWN,,RIP,,,,E,,RIP,,,,MONTH ESTIMATE,2020-11-15,2020-10-01,2020-12-01,INFANT FIRST SIGHT,,JM,VF,"Ripley was last seen June 5th, 2020 and first seen with Avatar on March 16th, 2021. JM estimates 4 to 5 months",MONTH ESTIMATE,2021-06-09,DEAD PREWEANING,,MIDPOINT,JM,VF,"DIC sent a photo from Aristocat of Ripley with a fresh shark bite 6-May-21, and they said she had a calf with her then but didn’t have photos of it. SK emailed to say Ripley was still alive but no Avatar on 13-Jul-21",,,,,,,,,,,
AVE,AVEY,False,,,EVA,,,,,,,,,,YEAR ESTIMATE,1985-11-01,,,MOTHER FIRST SIGHT WITH CALF,,RAS,,SEE 1991 CATALOGUE; EVA ID IN 1987 WITH CALF ESTIMATE BORN 1985,YEAR ESTIMATE,1991-05-01,SIGHTING RECORD POOR,BIRTH DATE UNCERTAIN,DEFAULT DATE,JM,,"EVA and AVEY seen only once in 1987 by RAS and we have no sighting records to base anything on, but calf was a bit older and could have survived and could be anyone.",,,,,,,,NO,,,
AZT,AZTEC,False,,,,,,,,,,,,,YEAR ESTIMATE,1985-11-01,1956-11-01,1985-11-01,ASSIGNED 10 YRS,,,,No good information.,YEAR ESTIMATE,1999-05-01,RARELY SIGHTED,OVER 3 YEARS,DEFAULT DATE,EK,JM,,,,,,,,,,,,
AZU,AZURE,False,MALE,HIGH,IND,,,,H,,,,,,MONTH ESTIMATE,2012-11-01,2012-09-15,2012-12-01,,,MMW,,approx 1 year (MMW) but a little younger based on sighting record for IND (JM); Entered by CBK,,,,,,,,,MONTH ESTIMATE,2016-01-03,,,MIDPOINT,EK,,YES,,,
BAC,BACON,False,,,MIS,,,haplotype assigned based on haplotype of mother,E,,,,,,YEAR ESTIMATE,1993-11-01,,,GAP,,JM,,OLDER CALF IN 95-ABOUT 2YRS BASED ON PHOTOS (JM),,,STOPPED SIGHTING POST WEANING,,,,,,YEAR ESTIMATE,1998-05-01,,GAP,DEFAULT DATE,JM,,NO,"AT LEAST 3, NOT SEEN SINCE",1997,
BAD,BADGHOST,False,FEMALE,HIGH,,,,,E,,,,,,MONTH ESTIMATE,1982-11-01,1981-11-01,1982-11-01,SSSS,REPRODUCTIVE AGE,EK,JM,Was a juvenile in early 90s and could not have been older than 10 at first ID.,,,,,,,,,,,,,,,,,,2007,
BAG,BAGEL,False,MALE,HIGH,BIS,PIK,LOW,Based on information from halfsiblings with known mothers,E,,,,,,MONTH ESTIMATE,1996-11-01,,,SPRING SUMMER YOY,,JM,,YOY,,,,,,,,,WEEK ESTIMATE,2003-02-25,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,,2004,
BAI,BAILER,False,MALE,HIGH,SCA,,,haplotype assigned based on haplotype of mother,E,,,,,,DAY ESTIMATE,2010-10-27,2010-10-23,2010-10-31,,,EK,,,,,,,,,,,MONTH ESTIMATE,2016-01-25,REDUCED MC ASSOCIATION,,MIDPOINT,JM,,YES,,,EK est 1 week
BAK,BAKER,False,MALE,HIGH,,,,,A,,,,,,,1989-11-01,,,ASSIGNED 10 YRS,,,,,,,,,,,,,,,,,,,,,,2007,
BAL,BALMY,False,,,SOG,,,haplotype assigned based on haplotype of mother,A,,,,,,DAY ESTIMATE,2004-11-15,,,INFANT FIRST SIGHT,,RCC,,"ECHELON, FETAL FOLDS, VERY YOUNG, LUMPY",WEEK ESTIMATE,2004-11-29,DEAD PREWEANING,,MIDPOINT,JM,,,,,,,,,,DIED PREWEANING,,2004,
BAM,BAMBAM,False,MALE,HIGH,,,,,D,,,,,,YEAR ESTIMATE,1967-11-01,1965-11-01,1970-11-01,SSSS,ALLIANCE,EK,JM,In alliance in 1985.,MONTH ESTIMATE,2008-05-01,OVER 3 YEARS,SIGHTED OFTEN PREVIOUSLY,DEFAULT DATE,JM,,Seen every year before.,,,,,,,,,,2004,
BAN,BANGLE,False,FEMALE,HIGH,,,,,A,,,,,,YEAR ESTIMATE,1976-11-01,1969-11-01,1976-11-01,REPRODUCTIVE AGE,SSSS,EK,JM,Has quite a few speckles on DF in 2001 and is very speckled in 2009 so she was probably at least 25 in 2001 but likely to be early 30s. Was called adult in 1991 catalogue.,YEAR ESTIMATE,2012-05-01,OVER 3 YEARS,,DEFAULT DATE,JM,,Some gaps in her sighting record but consistently seen 1997 onward with some 2 year gaps. She is also pretty old.,,,,,,,,,,2006,
BAP,BAP,False,,,,,,,,,,,,,YEAR ESTIMATE,1977-11-01,1957-11-01,1977-11-01,SSSS,,EK,JM,Seems to have specks on DF in bad photo from 1997.,,,,,,EK,JM,,,,,,,,,,,,
BAR,BARNEY,False,MALE,HIGH,,,,,E,,,,,,YEAR ESTIMATE,1972-11-01,,,91CAT,,,,,MONTH ESTIMATE,2014-05-01,OVER 3 YEARS,SIGHTED OFTEN PREVIOUSLY,DEFAULT DATE,EK,JM,seen every year and still saw his alliance members often in subsequent years.,,,,,,,,,,2007,
